Oscilloscope 1.6.3

Experiment
Jméno

L E G E N D
CH A	napìtí na primární cívce
CH B	proud na odporu

M E A S U R E
Channel	U rms	U mean	U max	U min	f
A	0,39 V	0,00 V	0,56 V	-0,56 V	50,00 Hz
B	0,35 V	0,00 V	0,50 V	-0,50 V	49,95 Hz


Time [ms]	CH A [V]	CH B [V]
63,4	0,48	-0,22
63,6	0,50	-0,24
63,8	0,52	-0,26
64,0	0,52	-0,30
64,2	0,54	-0,32
64,4	0,54	-0,34
64,6	0,56	-0,36
64,8	0,56	-0,38
65,0	0,56	-0,40
65,2	0,56	-0,42
65,4	0,56	-0,44
65,6	0,54	-0,46
65,8	0,54	-0,46
66,0	0,52	-0,48
66,2	0,52	-0,48
66,4	0,50	-0,50
66,6	0,48	-0,50
66,8	0,46	-0,50
67,0	0,44	-0,50
67,2	0,42	-0,50
67,4	0,40	-0,50
67,6	0,38	-0,50
67,8	0,34	-0,48
68,0	0,32	-0,48
68,2	0,30	-0,48
68,4	0,26	-0,46
68,6	0,24	-0,44
68,8	0,20	-0,44
69,0	0,16	-0,42
69,2	0,12	-0,40
69,4	0,10	-0,38
69,6	0,06	-0,36
69,8	0,02	-0,34
70,0	-0,02	-0,32
70,2	-0,04	-0,28
70,4	-0,08	-0,26
70,6	-0,12	-0,22
70,8	-0,14	-0,20
71,0	-0,18	-0,18
71,2	-0,22	-0,14
71,4	-0,24	-0,12
71,6	-0,28	-0,08
71,8	-0,30	-0,04
72,0	-0,34	-0,02
72,2	-0,36	0,02
72,4	-0,38	0,06
72,6	-0,40	0,08
72,8	-0,42	0,12
73,0	-0,46	0,14
73,2	-0,46	0,18
73,4	-0,48	0,20
73,6	-0,50	0,24
73,8	-0,52	0,26
74,0	-0,52	0,28
74,2	-0,54	0,32
74,4	-0,54	0,34
74,6	-0,56	0,36
74,8	-0,56	0,38
75,0	-0,56	0,40
75,2	-0,56	0,42
75,4	-0,56	0,42
75,6	-0,54	0,44
75,8	-0,54	0,46
76,0	-0,52	0,46
76,2	-0,52	0,48
76,4	-0,50	0,48
76,6	-0,48	0,48
76,8	-0,46	0,50
77,0	-0,44	0,50
77,2	-0,42	0,50
77,4	-0,40	0,50
77,6	-0,38	0,48
77,8	-0,36	0,48
78,0	-0,32	0,48
78,2	-0,30	0,46
78,4	-0,26	0,46
78,6	-0,24	0,44
78,8	-0,20	0,42
79,0	-0,16	0,40
79,2	-0,12	0,38
79,4	-0,10	0,38
79,6	-0,06	0,34
79,8	-0,02	0,32
80,0	0,02	0,30
80,2	0,04	0,28
80,4	0,08	0,26
80,6	0,12	0,22
80,8	0,14	0,20
81,0	0,18	0,16
81,2	0,20	0,14
81,4	0,24	0,10
81,6	0,28	0,08
81,8	0,30	0,04
82,0	0,32	0,00
82,2	0,36	-0,02
82,4	0,38	-0,06
82,6	0,40	-0,08
82,8	0,42	-0,12
83,0	0,44	-0,16
83,2	0,46	-0,18
83,4	0,48	-0,22
83,6	0,50	-0,24
83,8	0,52	-0,26
84,0	0,52	-0,30
84,2	0,54	-0,32
84,4	0,54	-0,34
84,6	0,54	-0,36
84,8	0,56	-0,38
85,0	0,56	-0,40
85,2	0,56	-0,42
85,4	0,54	-0,44
85,6	0,54	-0,46
85,8	0,54	-0,46
86,0	0,52	-0,48
86,2	0,52	-0,48
86,4	0,50	-0,50
86,6	0,48	-0,50
86,8	0,46	-0,50
87,0	0,44	-0,50
87,2	0,42	-0,50
87,4	0,40	-0,50
87,6	0,38	-0,50
87,8	0,36	-0,48
88,0	0,32	-0,48
88,2	0,30	-0,48
88,4	0,26	-0,46
88,6	0,22	-0,44
88,8	0,20	-0,44
89,0	0,16	-0,42
89,2	0,12	-0,40
89,4	0,10	-0,38
89,6	0,06	-0,36
89,8	0,02	-0,34
90,0	-0,02	-0,32
90,2	-0,04	-0,28
90,4	-0,08	-0,26
90,6	-0,12	-0,22
90,8	-0,14	-0,20
91,0	-0,18	-0,18
91,2	-0,22	-0,14
91,4	-0,24	-0,10
91,6	-0,28	-0,08
91,8	-0,30	-0,04
92,0	-0,32	-0,02
92,2	-0,36	0,02
92,4	-0,38	0,06
92,6	-0,40	0,08
92,8	-0,42	0,12
93,0	-0,44	0,14
93,2	-0,46	0,18
93,4	-0,48	0,20
93,6	-0,50	0,24
93,8	-0,52	0,26
94,0	-0,52	0,28
94,2	-0,54	0,32
94,4	-0,54	0,34
94,6	-0,56	0,36
94,8	-0,56	0,38
95,0	-0,56	0,40
95,2	-0,56	0,42
95,4	-0,56	0,42
95,6	-0,54	0,44
95,8	-0,54	0,46
96,0	-0,52	0,46
96,2	-0,52	0,48
96,4	-0,50	0,48
96,6	-0,48	0,48
96,8	-0,46	0,50
97,0	-0,44	0,50
97,2	-0,42	0,50
97,4	-0,40	0,50
97,6	-0,38	0,48
97,8	-0,36	0,48
98,0	-0,32	0,48
98,2	-0,30	0,46
98,4	-0,26	0,46
98,6	-0,24	0,44
98,8	-0,20	0,42
99,0	-0,16	0,40
99,2	-0,12	0,38
99,4	-0,10	0,38
99,6	-0,06	0,34
99,8	-0,02	0,32
100,0	0,02	0,30
