67,0	0,92	-0,96
67,2	0,88	-0,96
67,4	0,84	-0,94
67,6	0,78	-0,94
67,8	0,72	-0,92
68,0	0,66	-0,90
68,2	0,60	-0,88
68,4	0,54	-0,86
68,6	0,48	-0,82
68,8	0,42	-0,80
69,0	0,34	-0,76
69,2	0,28	-0,72
69,4	0,20	-0,68
69,6	0,12	-0,64
69,8	0,06	-0,60
70,0	-0,02	-0,54
70,2	-0,08	-0,50
70,4	-0,16	-0,44
70,6	-0,22	-0,38
70,8	-0,30	-0,32
71,0	-0,36	-0,28
71,2	-0,42	-0,22
71,4	-0,48	-0,16
71,6	-0,54	-0,10
71,8	-0,60	-0,02
72,0	-0,66	0,04
72,2	-0,72	0,10
72,4	-0,76	0,16
72,6	-0,82	0,22
72,8	-0,86	0,28
73,0	-0,90	0,34
73,2	-0,94	0,38
73,4	-0,98	0,44
73,6	-1,02	0,50
73,8	-1,04	0,54
74,0	-1,08	0,60
74,2	-1,10	0,64
74,4	-1,10	0,68
74,6	-1,12	0,72
74,8	-1,12	0,76
75,0	-1,14	0,80
75,2	-1,14	0,82
75,4	-1,12	0,84
75,6	-1,12	0,88
75,8	-1,10	0,90
76,0	-1,08	0,92
76,2	-1,06	0,92
76,4	-1,04	0,94
76,6	-1,00	0,94
76,8	-0,96	0,94
77,0	-0,92	0,94
77,2	-0,88	0,94
77,4	-0,84	0,94
77,6	-0,78	0,92
77,8	-0,72	0,90
78,0	-0,66	0,90
78,2	-0,60	0,86
78,4	-0,54	0,84
78,6	-0,48	0,82
78,8	-0,42	0,78
79,0	-0,34	0,76
79,2	-0,28	0,72
79,4	-0,20	0,68
79,6	-0,14	0,64
79,8	-0,06	0,58
80,0	0,02	0,54
80,2	0,08	0,48
80,4	0,16	0,44
80,6	0,22	0,38
80,8	0,28	0,32
81,0	0,36	0,26
81,2	0,42	0,20
81,4	0,48	0,14
81,6	0,54	0,08
81,8	0,60	0,02
82,0	0,66	-0,04
82,2	0,72	-0,10
82,4	0,76	-0,16
82,6	0,82	-0,22
82,8	0,86	-0,28
83,0	0,90	-0,34
83,2	0,94	-0,40
83,4	0,98	-0,44
83,6	1,02	-0,50
83,8	1,04	-0,56
84,0	1,08	-0,60
84,2	1,10	-0,64
84,4	1,10	-0,68
84,6	1,12	-0,72
84,8	1,12	-0,76
85,0	1,14	-0,80
85,2	1,12	-0,84
85,4	1,12	-0,86
85,6	1,12	-0,88
85,8	1,10	-0,90
86,0	1,08	-0,92
86,2	1,06	-0,94
86,4	1,02	-0,94
86,6	1,00	-0,96
86,8	0,96	-0,96
87,0	0,92	-0,96
87,2	0,88	-0,94
87,4	0,84	-0,94
87,6	0,78	-0,94
87,8	0,72	-0,92
88,0	0,66	-0,90
88,2	0,60	-0,88
88,4	0,54	-0,86
88,6	0,48	-0,82
88,8	0,42	-0,80
89,0	0,34	-0,76
89,2	0,28	-0,72
89,4	0,20	-0,68
89,6	0,14	-0,64
89,8	0,06	-0,60
90,0	-0,02	-0,54
90,2	-0,08	-0,50
90,4	-0,16	-0,44
90,6	-0,22	-0,38
90,8	-0,30	-0,32
91,0	-0,36	-0,28
91,2	-0,42	-0,22
91,4	-0,48	-0,16
91,6	-0,54	-0,10
91,8	-0,60	-0,02
92,0	-0,66	0,04
92,2	-0,72	0,10
92,4	-0,76	0,16
92,6	-0,82	0,22
92,8	-0,86	0,28
93,0	-0,92	0,34
93,2	-0,94	0,38
93,4	-0,98	0,44
93,6	-1,02	0,50
93,8	-1,04	0,54
94,0	-1,08	0,60
94,2	-1,10	0,64
94,4	-1,10	0,68
94,6	-1,12	0,72
94,8	-1,12	0,76
95,0	-1,14	0,80
95,2	-1,14	0,82
95,4	-1,12	0,84
95,6	-1,12	0,88
95,8	-1,10	0,90
96,0	-1,08	0,92
96,2	-1,06	0,92
96,4	-1,04	0,94
96,6	-1,00	0,94
96,8	-0,96	0,94
97,0	-0,92	0,94
97,2	-0,88	0,94
97,4	-0,84	0,94
97,6	-0,78	0,92
97,8	-0,72	0,90
98,0	-0,66	0,88
98,2	-0,60	0,88
98,4	-0,54	0,84
98,6	-0,48	0,82
98,8	-0,42	0,78
99,0	-0,34	0,76
99,2	-0,28	0,72
99,4	-0,20	0,68
99,6	-0,14	0,64
99,8	-0,06	0,58
100,0	0,02	0,54
